DATE,VALUE
1943-12-01,105.4
1943-11-01,123.4
1943-10-01,127.2
1943-09-01,121.2
1943-08-01,120.4
1943-07-01,123.5
1943-06-01,123.5
1943-05-01,123.7
1943-04-01,118.5
1943-03-01,128.1
1943-02-01,135.7
1943-01-01,128.1
1942-12-01,112.7
1942-11-01,129.3
1942-10-01,130.2
1942-09-01,126.4
1942-08-01,126.8
1942-07-01,116.9
1942-06-01,117.1
1942-05-01,117.3
1942-04-01,115.6
1942-03-01,112.0
1942-02-01,117.4
1942-01-01,123.5
1941-12-01,111.8
1941-11-01,117.6
1941-10-01,109.1
1941-09-01,111.0
1941-08-01,120.1
1941-07-01,108.7
1941-06-01,108.3
1941-05-01,109.8
1941-04-01,106.1
1941-03-01,105.0
1941-02-01,106.4
1941-01-01,101.5
1940-12-01,106.5
1940-11-01,106.0
1940-10-01,96.9
1940-09-01,98.9
1940-08-01,103.2
1940-07-01,95.9
1940-06-01,101.8
1940-05-01,96.0
1940-04-01,92.9
1940-03-01,99.6
1940-02-01,95.8
1940-01-01,95.8
1939-12-01,104.3
1939-11-01,97.7
1939-10-01,94.9
1939-09-01,100.1
1939-08-01,96.1
1939-07-01,98.1
1939-06-01,95.3
1939-05-01,94.9
1939-04-01,100.2
1939-03-01,91.5
1939-02-01,96.1
1939-01-01,96.7
1938-12-01,97.9
1938-11-01,94.5
1938-10-01,95.8
1938-09-01,92.8
1938-08-01,92.3
1938-07-01,94.4
1938-06-01,90.1
1938-05-01,88.9
1938-04-01,92.9
1938-03-01,89.7
1938-02-01,93.0
1938-01-01,93.9
1937-12-01,94.9
1937-11-01,95.2
1937-10-01,100.2
1937-09-01,98.8
1937-08-01,96.9
1937-07-01,102.1
1937-06-01,100.4
1937-05-01,104.3
1937-04-01,94.7
1937-03-01,98.7
1937-02-01,99.3
1937-01-01,100.0
1936-12-01,99.5
1936-11-01,102.0
1936-10-01,101.5
1936-09-01,98.8
1936-08-01,102.1
1936-07-01,99.2
1936-06-01,101.8
1936-05-01,100.8
1936-04-01,95.4
1936-03-01,92.4
1936-02-01,94.8
1936-01-01,90.2
1935-12-01,93.6
1935-11-01,97.9
1935-10-01,90.5
1935-09-01,91.7
1935-08-01,94.4
1935-07-01,88.8
1935-06-01,95.1
1935-05-01,88.4
1935-04-01,89.6
1935-03-01,98.1
1935-02-01,92.0
1935-01-01,89.3
1934-12-01,91.1
1934-11-01,89.4
1934-10-01,86.8
1934-09-01,94.7
1934-08-01,89.3
1934-07-01,87.9
1934-06-01,93.2
1934-05-01,92.3
1934-04-01,89.2
1934-03-01,99.1
1934-02-01,91.0
1934-01-01,93.4
1933-12-01,86.3
1933-11-01,85.3
1933-10-01,85.6
1933-09-01,90.5
1933-08-01,89.3
1933-07-01,94.0
1933-06-01,90.1
1933-05-01,88.4
